Intrahour Momentum Scanner — 2026-05-23 14:00 UTC (10 assets)

| # | Coin | Price | vs Open | Delta% | 5m | 15m | Regime | Str | Streak | Vol | Signal |
|---|------|-------|---------|--------|----|-----|--------|-----|--------|-----|--------|
| 1 | BTC | 75323.0 | UP | 0.1995% | UP | UP | TRENDING | 20 | UPx2 | 0.000405 | CONTINUATION UP |
| 2 | ETH | 2047.5 | UP | 0.1908% | UP | UP | TRENDING | 21 | DOWNx2 | 0.000453 | CONTINUATION UP |
| 3 | HYPE | 55.676 | UP | 0.9373% | DOWN | UP | CHOPPY | 0 | DOWNx3 | 0.001402 | PULLBACK RISK |
| 4 | ZEC | 588.270 | UP | 0.9455% | UP | UP | TRENDING | 31 | DOWNx2 | 0.001636 | CONTINUATION UP |
| 5 | SOL | 83.629 | UP | 0.5555% | UP | UP | TRENDING | 36 | DOWNx1 | 0.000581 | CONTINUATION UP |
| 6 | NEAR | 2.164 | UP | 2.7882% | UP | UP | TRENDING | 56 | DOWNx3 | 0.003154 | CONTINUATION UP |
| 7 | TON | 1.759 | UP | 0.5660% | DOWN | UP | CHOPPY | 0 | DOWNx3 | 0.001397 | PULLBACK RISK |
| 8 | LIT | 1.217 | UP | 2.1573% | UP | UP | TRENDING | 78 | DOWNx3 | 0.004494 | CONTINUATION UP |
| 9 | DOGE | 0.10032 | DOWN | -0.1890% | UP | UP | TRENDING | 15 | FLATx1 | 0.000582 | RECLAIM RISK |
| 10 | ONDO | 0.40654 | UP | 1.1218% | UP | UP | TRENDING | 28 | DOWNx3 | 0.002261 | CONTINUATION UP |
